Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Evan Fournier,,5.7,3.3,3.2,2.8,2.1,1.4,1
Nate Robinson,96.7,5.9,3.2,3.2,2.8,2.2,1.5,1.1
Anthony Morrow,91.9,5.7,3.5,3,3,2.4,1.7,0.7
Steve Blake,90.0,5.8,3.8,3.3,2.8,2.1,0.7,0.3
Aaron Brooks,89.5,5.5,3.6,3.3,2.2,1.4,1.1,0.8
Chris Childs,89.5,5.8,3.9,3.7,2.9,2.2,2.1,1.2
Larry Miller,88.9,6.2,3.4,3.2,3,2.4,1.3,0
John Salmons,88.7,5.6,3.7,3.6,2.1,1.7,1.4,0.6
Darwin Cook,88.1,6,3.9,3.6,3,2.7,1.6,1.2
Herm Gilliam,87.8,4.9,3.4,2.9,2.7,2.5,1.4,0.4
Darrell Walker,86.5,6.3,3.8,3.7,2.8,2.3,2.1,0.8
