Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Greg Grant,,1.4,0.2,0,0,0,-0.1
Bernard Robinson,76.3,1.7,0.3,0.1,NA,NA,NA
Bobby Wilson,69.0,1.6,0.2,0,-0.1,NA,NA
Kyle Weaver,65.9,1.2,0.3,0,NA,NA,NA
Orlando Johnson,65.6,1.5,0.1,-0.2,NA,NA,NA
Jerry Rullo,65.6,1.5,0.6,0,-0.1,NA,NA
Ray McCallum,65.2,1.4,0.4,0.3,NA,NA,NA
Stephen Graham,63.4,1.6,0.4,0,0,-0.1,-0.3
Bobby Washington,62.9,1.5,0.7,0,NA,NA,NA
Vonteego Cummings,59.8,1.3,0.6,0.2,NA,NA,NA
Terence Stansbury,59.7,1.5,0.6,0.3,NA,NA,NA
