Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Brandon Rush,,3.5,2.6,2.5,2,0.9,0.4,0,-0.3,-0.4,NA
Toney Douglas,85.4,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,NA,NA
Gary Neal,82.5,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA
Bob Harrison,82.3,3.5,3.3,2.9,2.2,0.9,0.9,0,-0.4,NA,NA
Quintin Dailey,81.9,3.7,2.6,2.1,2,1.3,1,0.3,0.1,-0.3,-0.3
Trenton Hassell,81.7,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,NA
Charlie Criss,81.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA,NA
Tony Snell,81.3,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA,NA
Armond Hill,80.7,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA
Sam Vincent,79.4,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA,NA
Devin Brown,79.3,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,NA,NA
