Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Nick Weatherspoon,,3.7,3.6,2.6,2.4,2.1,0.6,0.1
Edgar Jones,92.6,3.4,3.4,2.6,2.4,2.3,0.9,NA
Scott Williams,89.5,3.9,3.1,2.6,2.3,1.7,0.9,0.3
Jumaine Jones,89.2,3.7,3.3,3,2.9,2.3,0.1,0
Charles Jones,88.0,3.8,3.2,2.8,2.2,2.2,1.6,0
Andrea Bargnani,87.8,4.2,3.9,2.5,2.2,1.9,1.4,0.1
Derrick Williams,87.3,3.6,3,2.6,2.1,1.8,1.1,0
John Brown,87.2,4.2,3.7,2.6,2.3,1.7,1.7,0.1
Glen Gondrezick,87.0,3.6,3.1,3.1,2.7,2.5,0.9,NA
Jackie Moreland,87.0,5.3,3.6,2.6,2.5,2.3,0.5,0.1
Howard Porter,86.7,4.1,3.9,2.7,2.4,2.4,1.1,1
