Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Nick Weatherspoon,,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA
Edgar Jones,92.6,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA
Jumaine Jones,88.3,3.7,3.3,3,2.9,2.3,0.1,0,-0.2
Derrick Williams,87.3,3.6,3,2.6,2.1,1.8,1.1,0,NA
John Brown,87.2,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA
Glen Gondrezick,87.0,3.6,3.1,3.1,2.7,2.5,0.9,NA,NA
Howard Porter,86.7,4.1,3.9,2.7,2.4,2.4,1.1,1,NA
Danny Vranes,86.4,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Craig Smith,86.2,3.9,3.5,3.1,3,1.5,1,NA,NA
Willie Norwood,85.9,3.8,3.5,3.3,3,2.6,1.1,0.5,NA
Scott Padgett,84.5,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
