,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1963-64,22,BAL,NBA,,12,,9,10,,,,31
1964-65,23,DET,NBA,,10,,9,13,,,,27
1965-66,24,TOT,NBA,,14,,8,12,,,,29
1965-66,24,DET,NBA,,14,,8,12,,,,29
1965-66,24,STL,NBA,,12,,6,8,,,,28
1966-67,25,STL,NBA,,10,,6,8,,,,26
1967-68,26,SEA,NBA,,14,,12,14,,,,32
1968-69,27,SEA,NBA,,9,,7,10,,,,21
1969-70,28,SEA,NBA,,6,,5,8,,,,17
1970-71,29,SEA,NBA,,9,,8,10,,,,22
Career,,,,,14,,12,14,,,,32
4 Seasons,,SEA,NBA,,14,,12,14,,,,32
2 Seasons,,STL,NBA,,12,,6,8,,,,28
2 Seasons,,DET,NBA,,14,,9,13,,,,29
1 Season,,BAL,NBA,,12,,9,10,,,,31
