Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Rod Thorn,,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1
Mickaël Piétrus,91.8,3.6,3.6,3,2.8,2.1,1.5,1.3,0.6
Steve Colter,91.6,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3
Gerald Henderson,90.1,3.6,3.6,3.3,2.4,2,2,1,0.4
Fatty Taylor,89.8,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4
Keith Bogans,85.5,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
John Battle,85.3,4,3.2,2.3,2,1.7,1.5,1,0.5
Mike McGee,84.8,3.2,3,2.8,2.3,1.9,1.1,0.2,0.2
Anthony Peeler,84.7,4.1,3.7,2.7,2.5,2.4,1.1,0.8,0.6
Billy McKinney,83.9,3.4,3.3,3,2.7,2.3,0.9,0.1,NA
Mike Dunleavy,83.8,3.4,3.1,3,2.6,1.4,1.4,0.2,0.1
