Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Don Chaney,,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.6,0.4,0.3,-0.1,-0.5
Steve Jones,87.2,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA,NA
Micheal Ray Richardson,85.8,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
Phil Smith,84.6,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA,NA
Eric Bledsoe,84.2,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA,NA
Rafer Alston,84.1,6.6,5.9,5.5,5.3,5,3.4,1.2,0.7,0.3,-0.4,-0.7,NA
Gene Shue,82.6,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,NA,NA
Kyle Macy,81.8,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA,NA,NA,NA
George King,81.6,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA,NA,NA,NA
Phil Chenier,80.7,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1,NA,NA
Kevin Porter,80.7,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA,NA
