Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Leandro Barbosa,,8.2,5.5,5,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.6,0.4
Jon Barry,89.3,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Brevin Knight,87.8,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,NA,NA
John Salmons,87.3,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,NA
Arron Afflalo,84.1,6.2,5.3,5.3,4.3,2.7,2.6,2,1.9,1.8,1.4,0.1,NA,NA,NA
Vinny Del Negro,83.9,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2,1.6,1.6,1.5,0,NA,NA
Mo Williams,83.7,9.8,6.7,4.5,3.2,2.8,2.5,2.2,2.2,2.1,1.8,1.1,1,0.2,NA
Beno Udrih,83.3,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.3,1.2,1,0.8,0.4,NA
Raja Bell,83.2,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,NA,NA
Larry Hughes,82.5,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,NA
Adrian Smith,81.7,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,NA,NA,NA
