Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Cole Aldrich,,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA,NA
Željko Rebrača,82.5,3.3,2.4,1.3,0.7,0.5,NA,NA,NA,NA,NA
Jake Tsakalidis,82.1,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA,NA
Hub Reed,80.2,2.8,2,1.7,1.3,1,0.6,0,NA,NA,NA
Cherokee Parks,80.1,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA
Carlos Rogers,79.1,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA
Alexis Ajinça,78.9,3.2,2.1,1,1,0.4,0,-0.1,NA,NA,NA
Jim McIlvaine,78.2,3,1.9,1.8,1.5,0.8,0.3,0.1,NA,NA,NA
Walt Wesley,77.1,4.1,1.7,1.2,1.2,1,0.7,0.2,0,-0.3,-0.4
Ekpe Udoh,76.1,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA,NA
Stanley Roberts,75.3,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1,NA,NA
