Season,Team,Lg,Salary
1994-95,Milwaukee Bucks,NBA,"$150,000"
1996-97,Denver Nuggets,NBA,"$169,000"
1997-98,Seattle SuperSonics,NBA,"$500,000"
1998-99,Seattle SuperSonics,NBA,"$575,000"
1999-00,Washington Wizards,NBA,"$1,100,000"
2000-01,New Jersey Nets,NBA,"$2,250,000"
2001-02,New Jersey Nets,NBA,"$2,475,000"
2002-03,New Jersey Nets,NBA,"$2,700,000"
2003-04,New Jersey Nets,NBA,"$2,925,000"
2004-05,Toronto Raptors,NBA,"$3,790,257"
2005-06,Toronto Raptors,NBA,"$3,375,000"
2006-07,Los Angeles Clippers,NBA,"$1,750,000"
2007-08,Los Angeles Clippers,NBA,"$1,890,000"
Career,(may be incomplete),,"$23,649,257"
