Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Johan Petro,,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA,NA,NA,NA
Rickey Brown,77.4,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA,NA,NA
Walt Davis,74.7,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Greg Kite,72.4,2,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0,-0.1,-0.3
John Lambert,71.9,1.8,1.5,1,0.9,0.7,0.6,0.4,NA,NA,NA,NA,NA
Eric Leckner,69.5,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,NA,NA,NA,NA
Aaron Gray,66.2,1.4,1.3,1.1,0.9,0.8,0.5,0.1,NA,NA,NA,NA,NA
Calvin Booth,63.5,2.2,2.1,1,0.8,0.6,0.5,0.4,0.3,0.1,0.1,NA,NA
Greg Dreiling,61.7,1.1,0.6,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1,NA,NA
Jawann Oldham,61.2,1.3,1.2,1,0.5,0.3,0,0,0,0,0,NA,NA
Melvin Ely,59.9,2,0.8,0.6,0.4,0.3,0.1,0,-0.1,-0.3,NA,NA,NA
