Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Christian Wood,,0.8,0.3,0.3,NA
Michael Smith,88.9,0.7,0.3,0.3,NA
Jamie Watson,81.1,0.8,0.3,0.1,0
Jerrod Mustaf,78.9,0.8,0.5,0.4,0
Ansu Sesay,78.9,0.8,0.5,0.2,-0.1
Bob Peterson,78.6,0.9,0.4,0.2,NA
Scott Roth,77.1,0.7,0.3,0.1,NA
Bob Arnzen,74.4,1,0.3,0.3,-0.1
Cal Bowdler,69.4,1,0.5,0.2,NA
Winston Bennett,67.2,1.1,0.3,0.2,NA
Alex Poythress,65.9,0.5,0.3,0.1,NA
