,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,20,PHI,NBA,PF,17,145,,,,40%,60%,-16.9,-6.4,0,1,6,1,9,1,7,1,10
2016-17,21,CHO,NBA,PF,13,107,,,,27%,73%,+7.3,+7.1,0,4,4,3,7,3,5,1,2
2018-19,23,TOT,NBA,PF,21,251,,,4%,64%,32%,-9.0,-13.0,5,7,12,1,24,1,20,5,5
2018-19,23,MIL,NBA,PF,13,62,,,16%,82%,2%,-13.8,-22.8,0,0,3,0,6,0,5,1,1
2018-19,23,NOP,NBA,PF,8,189,,,,58%,42%,-7.6,-6.6,5,7,9,1,18,1,15,4,4
2019-20,24,DET,NBA,PF,62,1325,,,,47%,53%,+2.2,+10.9,24,30,49,15,105,13,144,30,31
Career,,,NBA,,113,1828,,,1%,48%,52%,-0.5,+6.0,29,42,71,20,145,18,176,37,48
,,,,,,,,,,,,,,,,,,,,,,
1 season,,DET,NBA,,62,1325,,,,47%,53%,+2.2,+10.9,24,30,49,15,105,13,144,30,31
1 season,,PHI,NBA,,17,145,,,,40%,60%,-16.9,-6.4,0,1,6,1,9,1,7,1,10
1 season,,CHO,NBA,,13,107,,,,27%,73%,+7.3,+7.1,0,4,4,3,7,3,5,1,2
1 season,,MIL,NBA,,13,62,,,16%,82%,2%,-13.8,-22.8,0,0,3,0,6,0,5,1,1
1 season,,NOP,NBA,,8,189,,,,58%,42%,-7.6,-6.6,5,7,9,1,18,1,15,4,4
