Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Brook Lopez,,9,7.9,7,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3
Marcin Gortat,90.4,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,0.1
Byron Beck,89.5,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,NA
Red Kerr,89.1,8.7,7.8,7.7,5.8,5.4,5,4.9,4.6,3.9,3.8,0.9
Zydrunas Ilgauskas,88.8,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.5,0.7,0.5
Nate Thurmond,88.6,9.9,9,7.2,7.2,6.5,6.1,6,5.2,4.3,3.7,3.5
Vlade Divac,88.2,9.5,8.3,7.4,7.3,7.2,6.1,5.9,5.6,5.2,5,1.8
Tree Rollins,87.8,9.2,7.3,6.4,6.4,5.5,5,4.9,4.1,3.8,3.4,2.6
Mike Gminski,87.5,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5
Tom Owens,87.2,10.4,8.3,8,6.9,6.9,6,4.8,3.2,2.9,2.5,0.9
Joakim Noah,87.1,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,1.1,0.1
