,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2008-09,20,NJN,NBA,41:37,12,20,0,1,12,20,11,12,8,12,20,8,3,5,5,6,31,27.6
2009-10,21,NJN,NBA,46:13,14,27,0,1,14,27,12,14,10,12,16,7,3,5,7,6,37,35.7
2010-11,22,NJN,NBA,52:45,14,27,0,1,14,27,14,17,7,10,14,4,3,8,6,6,39,34.1
2011-12,23,NJN,NBA,36:14,17,28,0,0,17,28,8,11,3,3,6,2,1,2,3,3,38,26.1
2012-13,24,BRK,NBA,43:54,15,25,0,1,15,25,11,15,7,9,13,5,2,5,7,5,38,33.6
2013-14,25,BRK,NBA,44:02,11,19,0,1,11,19,10,11,8,7,9,4,2,5,4,5,32,30.0
2014-15,26,BRK,NBA,45:06,16,28,1,2,16,28,10,12,10,14,18,5,4,6,7,5,35,33.3
2015-16,27,BRK,NBA,41:52,16,24,1,1,16,24,10,14,8,10,15,6,4,7,6,6,36,32.0
2016-17,28,BRK,NBA,43:14,13,25,7,14,11,20,9,12,5,9,11,8,2,8,6,6,36,34.5
2017-18,29,LAL,NBA,38:43,13,23,6,9,11,14,8,9,4,10,11,9,4,5,4,5,34,26.2
2018-19,30,MIL,NBA,37:10,10,17,8,15,6,9,10,10,2,10,10,4,3,7,4,6,28,25.6
2019-20,31,MIL,NBA,34:39,9,16,5,8,7,12,9,10,3,9,12,5,4,8,4,6,23,21.0
Career,,,,52:45,17,28,8,15,17,28,14,17,10,14,20,9,4,8,7,6,39,35.7
9 Seasons,,"BRK,NJN",NBA,52:45,17,28,7,14,17,28,14,17,10,14,20,8,4,8,7,6,39,35.7
2 Seasons,,MIL,NBA,37:10,10,17,8,15,7,12,10,10,3,10,12,5,4,8,4,6,28,25.6
1 Season,,LAL,NBA,38:43,13,23,6,9,11,14,8,9,4,10,11,9,4,5,4,5,34,26.2
