Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1975-76,23,LAL,NBA,SF,16,NA,55,8.1,32.3,0.25,5.7,8.9,0.636,3.2,15.4,18.6,4,2.4,0,NA,5.7,21.8,NA,NA,91
1976-77,24,LAL,NBA,SF,82,NA,908,7.7,17.3,0.447,3.9,5.1,0.772,3.8,6.2,10,2.7,0.9,0.2,NA,5.7,19.4,NA,NA,101
1977-78,25,HOU,NBA,SF,49,NA,626,6.4,14.9,0.426,2,2.5,0.818,2,4.8,6.9,3.8,0.8,0.2,1.8,4.1,14.8,NA,101,109
Career,NA,,NBA,,147,NA,1589,7.2,16.9,0.427,3.3,4.2,0.772,3.1,6,9.1,3.2,0.9,0.2,0.7,5.1,17.7,NA,101,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,98,NA,963,7.7,18.2,0.427,4,5.3,0.759,3.8,6.7,10.6,2.8,1,0.2,NA,5.7,19.5,NA,NA,101
1 season,NA,HOU,NBA,,49,NA,626,6.4,14.9,0.426,2,2.5,0.818,2,4.8,6.9,3.8,0.8,0.2,1.8,4.1,14.8,NA,101,109
