Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
C.J. Kupec,,1.5,0.5,-0.2,NA
Mario Bennett,83.3,1.5,0.5,0,-0.1
Roy Rogers,81.3,1.4,0.4,-0.1,NA
Lou Tsioropoulos,78.0,1.4,0.7,0,NA
Chris Singleton,77.0,1.5,0.5,0.2,NA
Red Morrison,76.0,1.7,0.5,0,NA
Marquese Chriss,72.8,1.8,0.7,-0.2,NA
Perry Jones,72.0,1.5,0.2,0,NA
Jeffery Taylor,70.3,1.2,0.3,-0.2,NA
Adrian Branch,69.2,1.5,0.7,0,-0.1
Kevin Loder,68.1,1.5,0.9,0.1,NA
