Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
J.J. Anderson,,2.3,0.2,0.1,NA,NA
Eric Moreland,85.7,2.3,0,0,0,NA
Alan Williams,85.7,2.1,0.2,0.2,0,NA
Gerard King,83.9,2.3,0.5,0.2,NA,NA
Dean Tolson,80.1,2,0.2,0,NA,NA
Ryan Kelly,77.8,2.2,0.7,0.1,0.1,NA
Larry Spriggs,77.4,2.6,0.5,0.3,0.1,0
Dick Ricketts,76.9,2,0.1,0,NA,NA
Joe Roberts,76.4,1.9,0.2,0.2,0,NA
Don Lofgran,75.4,2.9,0.1,0.1,NA,NA
Sean May,73.5,2.2,0.4,0.3,-0.3,NA
