Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
J.J. Anderson,,2.3,0.2,0.1
Kevin Séraphin,96.6,2.3,0.2,0.1
Bernard Thompson,90.5,2.1,0.2,0.1
Stan McKenzie,86.0,2.4,0.6,0.1
Eric Moreland,85.4,2.3,0,0
Alan Williams,85.2,2.1,0.2,0
Gerard King,83.9,2.3,0.5,0.2
Neil Johnson,83.1,2.2,0.2,-0.2
Bruce Bowen,82.5,2.2,0,0
Dorie Murrey,81.2,2.2,0.5,0.2
Tony Massenburg,81.0,2.2,0.4,-0.1
