Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Quincy Douby,,0,0,0
Ira Bowman,-88.1,0.1,0.1,0
Jarell Eddie,-89.1,0.1,0.1,0
Bo Kimble,-91.3,0.1,0,0
Dominique Jones,-92.4,0.2,0,0
Awvee Storey,-92.5,0.2,0.1,0
Dwight Buycks,-92.8,0.2,0.1,0
Gerald Madkins,-93.8,0.3,0.1,0
Mike Price,-94.7,0.2,0.2,0.1
Malcolm Lee,-95.4,0.4,0.1,0
Russ Lee,-95.5,0.3,0.2,0
