Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Marko Jarić,,2.8,2.4,2.3,1.9,1.5,1.5,-0.4
Nick Young,89.8,2.8,2.5,2.3,1.9,1.4,1.2,0.4
Iman Shumpert,86.2,2.4,2,2,1.9,1.7,1.5,0
C.J. Miles,84.4,2.9,2.5,1.9,1.9,1.5,0.3,-0.5
Jon Barry,82.7,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Robert Pack,82.7,3.1,2.7,2.2,1.7,1.1,1.1,-0.6
Quintin Dailey,82.2,3.7,2.6,2.1,2,1.3,1,-0.3
Mike Bratz,80.6,2.7,2.1,1.9,1.7,1.5,0.4,-0.1
J.J. Barea,80.0,3.2,2.2,2.2,1.9,1.2,0.5,0.1
Earl Watson,79.1,2.9,2.7,2.3,2.3,2,1.8,1.5
Trey Burke,78.9,2.4,2.4,2.1,1.9,0.9,0.5,NA
