Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Marko Jarić,,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,NA,NA,NA,NA,NA
Willie Green,79.8,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0,-0.1,-0.1,-0.7
Mike Bratz,79.2,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA,NA
Garrett Temple,79.2,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4,NA,NA,NA
Trey Burke,78.9,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA,NA,NA,NA
Jordan Clarkson,77.8,3,2.4,2.1,1.8,1.2,NA,NA,NA,NA,NA,NA,NA
Iman Shumpert,77.6,2.4,2,2,1.9,1.7,1.5,1.4,0,NA,NA,NA,NA
Haywoode Workman,77.6,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA,NA,NA,NA
John Crotty,76.2,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1,NA
Winston Garland,75.4,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA,NA,NA,NA
Quintin Dailey,75.2,3.7,2.6,2.1,2,1.3,1,0.3,0.1,-0.3,-0.3,NA,NA
