Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Brian Evans,,1.5,0.1,0.1,NA,NA,NA
Damian Jones,90.6,1.5,0.1,0,NA,NA,NA
Perry Jones,90.4,1.5,0.2,0,NA,NA,NA
Michael Bradley,84.9,1.5,0.2,0.1,0.1,0,NA
Damjan Rudež,81.7,1.3,0.1,0.1,NA,NA,NA
Stephen Howard,81.4,1.3,0.2,0.1,0,NA,NA
Jackie Butler,79.5,1.2,0.1,0.1,NA,NA,NA
Mario Bennett,75.8,1.5,0.5,0,-0.1,NA,NA
Dwayne Jones,75.3,1.2,0.1,0.1,0,0,NA
Mark Pope,75.3,1.3,0.1,0,0,-0.1,-0.1
Chris Singleton,74.5,1.5,0.5,0.2,NA,NA,NA
