Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Frank Card,,4.2,2.6,2.4,1.9,0.1
Reggie Johnson,90.6,3.9,3,2.4,1.6,NA
Allan Bristow,90.4,4.3,2.8,1.9,1.9,0.5
Francisco García,88.5,4.2,2.4,2.4,1.6,1
Darius Songaila,88.5,4.3,2.6,2.5,1.7,1.1
Maurice Harkless,88.4,4.2,2.9,2.8,2.4,0.3
Richard Washington,88.3,3.9,3.2,2.1,2,0
Bob Doll,88.1,4,2.8,1.8,1.6,NA
Phil Jackson,87.7,4.2,3.2,2.5,1.7,0.5
Nick Weatherspoon,87.6,3.6,2.6,2.4,2.1,0.6
Ron Anderson,87.4,4.4,3.1,2.5,1.5,0.3
