,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,24,MNP,ABA,,12,,1,,,,11,12,,,,,,,,,35
1969-70,25,WSA,ABA,,15,,1,,,,9,15,,,,,,,,,34
1970-71,26,TOT,ABA,,13,,1,,,,11,16,,,,,,,,,36
1970-71,26,VIR,ABA,,2,,0,,,,1,2,,,,,,,,,5
1970-71,26,CAR,ABA,,13,,1,,,,11,16,,,,,,,,,36
1971-72,27,TOT,ABA,,10,,0,,,,8,11,,,,,,,,,23
1971-72,27,CAR,ABA,,3,14,0,,3,,5,8,,,7,4,,,,,8
1971-72,27,DNR,ABA,,10,,0,,,,8,11,,,,,,,,,23
1972-73,28,DNR,ABA,,3,,0,,,,4,6,,,,,,,,,6
Career,,,,,15,,1,,,,11,16,,,,,,,,,36
2 Seasons,,"VIR,WSA",ABA,,15,,1,,,,9,15,,,,,,,,,34
2 Seasons,,DNR,ABA,,10,,0,,,,8,11,,,,,,,,,23
1 Season,,MNP,ABA,,12,,1,,,,11,12,,,,,,,,,35
2 Seasons,,CAR,ABA,,13,,1,,,,11,16,,,,,,,,,36
