Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Frank Card,,4.2,2.6,2.4,1.9,0.1,NA
Reggie Johnson,90.6,3.9,3,2.4,1.6,NA,NA
Bob Doll,88.1,4,2.8,1.8,1.6,NA,NA
Eddie Griffin,87.3,3.9,3.2,2.4,1.5,-0.2,NA
Derrek Dickey,87.1,3.8,3.1,2.3,1.7,0.3,NA
Nemanja Bjelica,87.0,4.5,2.8,1.9,1.5,NA,NA
Anthony Bonner,85.7,4.1,2.4,1.8,1.6,0.7,0
Frank Kaminsky,85.7,3.6,3.3,2.3,1.8,NA,NA
Collis Jones,85.2,4.2,3.2,2.1,1.2,NA,NA
Richard Washington,84.7,3.9,3.2,2.1,2,0,-0.5
Kyle Singler,83.0,4.4,2.3,2,1.1,0.3,0
