Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,24,MNP,ABA,SF,76,1596,12.2,0.459,0.009,0.454,NA,NA,11.7,6.9,NA,NA,14.6,16.8,NA,-0.1,2.5,2.4,0.072
1969-70,25,WSA,ABA,PF,74,1820,15.3,0.556,0.008,0.429,NA,NA,11.6,7,NA,NA,15.8,18.4,NA,3.6,0.6,4.2,0.11
1970-71,26,TOT,ABA,SF,70,1865,11.7,0.504,0.008,0.458,NA,NA,11.1,7.8,NA,NA,17.3,18.7,NA,1.2,1.4,2.6,0.067
1970-71,26,VIR,ABA,,7,70,6.6,0.521,0,0.294,NA,NA,5.9,3.3,NA,NA,20.7,12.2,NA,0,0,0.1,0.058
1970-71,26,CAR,ABA,SF,63,1795,11.9,0.503,0.008,0.462,NA,NA,11.3,7.9,NA,NA,17.2,18.9,NA,1.2,1.3,2.5,0.067
1971-72,27,TOT,ABA,SF,82,1584,9.6,0.476,0.004,0.363,8.5,12.1,10.2,7.1,NA,NA,16.5,17.8,NA,-0.1,2,1.9,0.058
1971-72,27,CAR,ABA,,9,141,3,0.322,0.021,0.521,7.5,11,9.2,5.7,NA,NA,13.2,17.8,NA,-0.5,0.1,-0.4,-0.125
1971-72,27,DNR,ABA,SF,73,1443,10.3,0.492,0.002,0.347,8.6,12.2,10.3,7.2,NA,NA,16.8,17.8,NA,0.4,1.8,2.3,0.075
1972-73,28,DNR,ABA,SF,4,36,13.8,0.507,0,0.867,11.1,8.7,10,0,NA,NA,12.6,25.4,NA,0,0,0.1,0.087
Career,NA,,ABA,,306,6901,12.3,0.502,0.007,0.43,8.5,12,11.2,7.2,NA,NA,16.1,18,NA,4.7,6.5,11.1,0.077
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"WSA,VIR",ABA,,81,1890,15,0.555,0.007,0.426,NA,NA,11.4,6.9,NA,NA,16,18.2,NA,3.6,0.7,4.3,0.108
2 seasons,NA,DNR,ABA,,77,1479,10.4,0.493,0.002,0.363,8.6,12.1,10.3,7.1,NA,NA,16.6,18,NA,0.5,1.9,2.3,0.076
1 season,NA,MNP,ABA,,76,1596,12.2,0.459,0.009,0.454,NA,NA,11.7,6.9,NA,NA,14.6,16.8,NA,-0.1,2.5,2.4,0.072
2 seasons,NA,CAR,ABA,,72,1936,11.2,0.49,0.009,0.466,7.5,11,11.2,7.8,NA,NA,16.9,18.8,NA,0.7,1.4,2.2,0.053
