Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rod Foster,,1.6,0.9,-0.3,NA,NA
Ollie Mack,89.9,1.6,1,-0.1,NA,NA
Billy Shepherd,79.6,1.7,1.3,-0.3,NA,NA
Tracy Jackson,75.7,1.7,0.7,0,NA,NA
Sean Kilpatrick,75.2,1.4,1,0.1,0.1,NA
Bobby Washington,72.6,1.5,0.7,0,NA,NA
Mike Flynn,71.5,1.7,0.8,0.3,NA,NA
Byron Irvin,70.9,1.2,0.9,0,NA,NA
Andrew Harrison,67.4,1.7,1.6,-0.1,NA,NA
Buddy O'Grady,65.4,1.4,0.7,-0.5,NA,NA
Lloyd Daniels,64.9,1.8,1.1,0.2,0.1,0
