Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Rod Foster,,1.6,0.9,-0.3
Sergio Rodríguez,90.3,1.7,0.9,-0.2
Ollie Mack,89.9,1.6,1,-0.1
John Jenkins,88.6,1.7,0.9,-0.1
Milt Palacio,83.9,1.8,0.8,-0.3
Gary Grant,82.0,1.7,1.3,-0.4
Raja Bell,81.7,1.7,1.1,-0.1
Billy Shepherd,79.6,1.7,1.3,-0.3
Sean Kilpatrick,78.5,1.4,1,0.1
Tommy Kron,78.1,1.3,0.8,-0.3
Cameron Payne,77.7,1.4,0.8,-0.3
