,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,26,BAL,NBA,,10,25,,,,,9,11,,,16,7,,,,6,27
1965-66,27,BAL,NBA,,1,4,,,,,0,0,,,0,0,,,,1,2
1969-70,31,BAL,NBA,,12,,,,,,7,9,,,,,,,,,31
1970-71,32,BAL,NBA,,9,17,,,,,7,8,,,17,8,,,,5,19
1971-72,33,BAL,NBA,,5,11,,,,,2,2,,,8,2,,,,5,10
1972-73,34,INA,ABA,,3,,0,,,,3,3,,,,,,,,,7
Career,,,TOT,,12,,,,,,9,11,,,,,,,,,31
,,,NBA,,12,,,,,,9,11,,,,,,,,,31
,,,ABA,,3,,0,,,,3,3,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,BAL,NBA,,12,,,,,,9,11,,,,,,,,,31
1 Season,,INA,ABA,,3,,0,,,,3,3,,,,,,,,,7
