,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1963-64,25,BAL,NBA,,17,,,,,,14,17,,,,,,,,,40
1964-65,26,BAL,NBA,,17,,,,,,9,16,,,,,,,,,41
1965-66,27,BAL,NBA,,15,,,,,,8,12,,,,,,,,,32
1966-67,28,BAL,NBA,,16,,,,,,12,15,,,,,,,,,36
1967-68,29,BAL,NBA,,19,,,,,,11,13,,,,,,,,,44
1968-69,30,BAL,NBA,,14,,,,,,7,12,,,,,,,,,32
1969-70,31,BAL,NBA,,17,,,,,,9,12,,,,,,,,,39
1970-71,32,BAL,NBA,,20,,,,,,17,20,,,,,,,,,43
1971-72,33,BAL,NBA,,8,,,,,,6,8,,,,,,,,,18
1972-73,34,PHO,NBA,,8,17,,,,,6,9,,,15,9,,,,5,18
1972-73,34,INA,ABA,,9,,1,,,,4,7,,,,,,,,,18
Career,,,TOT,,20,,,,,,17,20,,,,,,,,,44
,,,NBA,,20,,,,,,17,20,,,,,,,,,44
,,,ABA,,9,,1,,,,4,7,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,
9 Seasons,,BAL,NBA,,20,,,,,,17,20,,,,,,,,,44
1 Season,,INA,ABA,,9,,1,,,,4,7,,,,,,,,,18
1 Season,,PHO,NBA,,8,17,,,,,6,9,,,15,9,,,,5,18
