Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1964-65,26,BAL,NBA,SF,10,377,12.7,0.409,NA,0.266,NA,NA,NA,12.3,NA,NA,NA,NA,NA,-0.4,0.3,-0.1,-0.008
1965-66,27,BAL,NBA,SF,1,8,-4.2,0.25,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,-0.28
1969-70,31,BAL,NBA,PF,7,298,15.6,0.512,NA,0.306,NA,NA,NA,4.6,NA,NA,NA,NA,NA,0.4,0.4,0.8,0.133
1970-71,32,BAL,NBA,PF,11,365,15.9,0.481,NA,0.367,NA,NA,14.5,12,NA,NA,NA,NA,NA,0.3,0.7,0.9,0.125
1971-72,33,BAL,NBA,PF,5,77,4.8,0.324,NA,0.067,NA,NA,17.8,6.2,NA,NA,NA,NA,NA,-0.3,0,-0.3,-0.176
1972-73,34,INA,ABA,SF,17,184,5.3,0.318,0.051,0.271,NA,NA,17.8,11.3,NA,NA,21.4,18.5,NA,-0.6,0.4,-0.2,-0.046
Career,NA,,TOT,,51,1309,12.6,0.434,0.006,0.287,NA,NA,15.9,9.9,NA,NA,21.4,18.5,NA,-0.7,1.9,1.2,0.044
,NA,,NBA,,34,1125,13.8,0.45,NA,0.289,NA,NA,15,9.6,NA,NA,NA,NA,NA,-0.1,1.4,1.4,0.059
,NA,,ABA,,17,184,5.3,0.318,0.051,0.271,NA,NA,17.8,11.3,NA,NA,21.4,18.5,NA,-0.6,0.4,-0.2,-0.046
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,BAL,NBA,,34,1125,13.8,0.45,NA,0.289,NA,NA,15,9.6,NA,NA,NA,NA,NA,-0.1,1.4,1.4,0.059
1 season,NA,INA,ABA,,17,184,5.3,0.318,0.051,0.271,NA,NA,17.8,11.3,NA,NA,21.4,18.5,NA,-0.6,0.4,-0.2,-0.046
