Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1963-64,25,BAL,NBA,PF,78,2847,16.3,0.46,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,3.5,0.06
1964-65,26,BAL,NBA,SF,76,2899,16.6,0.457,NA,0.28,NA,NA,NA,13.6,NA,NA,NA,NA,NA,1.3,0.8,2.2,0.036
1965-66,27,BAL,NBA,SF,41,1284,17.4,0.458,NA,0.269,NA,NA,NA,12.3,NA,NA,NA,NA,NA,0.4,1.3,1.6,0.06
1966-67,28,BAL,NBA,SF,73,2626,17.6,0.489,NA,0.278,NA,NA,NA,10.5,NA,NA,NA,NA,NA,2.7,2.3,5,0.092
1967-68,29,BAL,NBA,SF,60,2271,17.1,0.497,NA,0.261,NA,NA,NA,9.7,NA,NA,NA,NA,NA,2.3,3,5.3,0.112
1968-69,30,BAL,NBA,PF,49,1671,17.5,0.499,NA,0.285,NA,NA,NA,7.9,NA,NA,NA,NA,NA,2.2,3,5.1,0.148
1969-70,31,BAL,NBA,PF,78,2919,16.3,0.483,NA,0.212,NA,NA,NA,11.5,NA,NA,NA,NA,NA,0.9,5,5.9,0.097
1970-71,32,BAL,NBA,PF,66,2538,18.9,0.494,NA,0.266,NA,NA,19.6,10.3,NA,NA,NA,NA,NA,2.2,5,7.2,0.136
1971-72,33,BAL,NBA,PF,39,668,12.2,0.42,NA,0.234,NA,NA,15.9,10.5,NA,NA,NA,NA,NA,-0.8,0.9,0.1,0.007
1972-73,34,TOT,TOT,SF-PF,71,1170,11.9,0.449,0.044,0.163,10.7,18.9,15.2,10.8,NA,NA,18.1,19.4,NA,-0.7,1.6,0.9,0.035
1972-73,34,PHO,NBA,PF,21,417,11.6,0.414,NA,0.199,NA,NA,15.8,9.9,NA,NA,NA,NA,NA,-0.5,0.3,-0.2,-0.02
1972-73,34,INA,ABA,SF,50,753,12,0.471,0.07,0.14,10.7,18.9,14.9,11.3,NA,NA,18.1,19.4,NA,-0.3,1.3,1,0.066
Career,NA,,TOT,,631,20893,16.7,0.476,0.002,0.254,10.7,18.9,17.9,10.9,NA,NA,18.1,19.4,NA,11.6,25.2,36.9,0.085
,NA,,NBA,,581,20140,16.9,0.476,NA,0.258,NA,NA,18.5,10.9,NA,NA,NA,NA,NA,11.9,24,35.8,0.085
,NA,,ABA,,50,753,12,0.471,0.07,0.14,10.7,18.9,14.9,11.3,NA,NA,18.1,19.4,NA,-0.3,1.3,1,0.066
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,BAL,NBA,,560,19723,17,0.477,NA,0.259,NA,NA,18.8,10.9,NA,NA,NA,NA,NA,12.4,23.6,36,0.088
1 season,NA,INA,ABA,,50,753,12,0.471,0.07,0.14,10.7,18.9,14.9,11.3,NA,NA,18.1,19.4,NA,-0.3,1.3,1,0.066
1 season,NA,PHO,NBA,,21,417,11.6,0.414,NA,0.199,NA,NA,15.8,9.9,NA,NA,NA,NA,NA,-0.5,0.3,-0.2,-0.02
