Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Gus Johnson,,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA,NA,NA
Lonnie Shelton,92.3,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA,NA,NA
Bill Bradley,90.0,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,NA,NA,NA
Jim Pollard,89.7,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA,NA,NA
Tom Gugliotta,88.7,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6,0.9,0.4,0.4,0.3
Loy Vaught,88.6,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2,NA,NA
Wil Jones,88.4,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA,NA,NA
Jim Washington,87.8,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0,NA,NA
Ed Davis,87.5,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA,NA,NA
M.L. Carr,87.0,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,NA,NA,NA
Kenneth Faried,87.0,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA,NA,NA
