Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Gus Johnson,,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1
Lonnie Shelton,92.3,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1
Amir Johnson,90.6,7.3,6.3,5.6,5.1,4.5,4,3,2.7,0.5,0.2
Tom Gugliotta,90.1,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6,0.9
Bill Bradley,90.0,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8
Jim Pollard,89.7,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA
Rod Higgins,89.5,5.9,5.7,5.3,5,3.8,3.7,2,1.3,1,0.1
Wil Jones,88.4,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA
Caron Butler,87.9,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.3,2.1,1.2
Jim Washington,87.8,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5
Terry Tyler,87.6,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2
