Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1972-73,22,ATL,NBA,SF,10,NA,94,14,40,0.35,2,4,0.5,NA,NA,21,6,NA,NA,25,30
1973-74,23,ATL,NBA,SF,64,NA,499,59,166,0.355,10,17,0.588,33,43,76,33,17,20,69,128
1974-75,24,PHI,NBA,SF,39,NA,623,53,148,0.358,13,22,0.591,52,59,111,30,25,25,80,119
Career,NA,,NBA,,113,NA,1216,126,354,0.356,25,43,0.581,85,102,208,69,42,45,174,277
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ATL,NBA,,74,NA,593,73,206,0.354,12,21,0.571,33,43,97,39,17,20,94,158
1 season,NA,PHI,NBA,,39,NA,623,53,148,0.358,13,22,0.591,52,59,111,30,25,25,80,119
