Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Adam Keefe,,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4
Markieff Morris,95.2,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA
Brandan Wright,90.9,6.1,5.1,4.1,3.5,1.9,1.6,1.1,0.8,0.7
Dave Gambee,89.6,7,5.3,4.6,3.3,2.2,1.9,1.6,0,NA
George Lynch,88.8,6.5,5.8,3.9,2.6,2.5,1.7,1.5,0.9,0.7
Phil Jackson,87.9,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.5
Al Harrington,87.6,5.9,4.3,3.9,3.8,2.6,1.6,1.2,1,-0.2
Bison Dele,87.4,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA
Tracy Murray,87.4,6.5,4.9,4.4,3.8,2.2,0.6,0.5,0.5,0.3
Chris Wilcox,86.8,6,4.4,3.4,2.8,2.6,1.3,1.1,0.6,0.2
Chuck Hayes,86.4,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6
