Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
George Johnson,,5,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2,1.3,1,0.6,0.3
Nazr Mohammed,89.9,4.6,4.5,3.7,3.6,3.4,3.3,2.7,2.5,2.3,0.4,0,0,-0.1
Wayne Cooper,89.8,5.1,5,4.1,3.5,2.9,2.9,2.8,2.7,2,1.5,1.4,1.2,1.2
Benoit Benjamin,87.8,5.4,5.1,4.1,4,3,2.3,2.2,2.2,2,1.1,0.9,0.4,0
Jon Koncak,85.5,3.8,3.7,3.7,3.7,3.1,2.5,2.3,2,1.8,1.4,1.1,NA,NA
Tony Battie,85.4,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2,0.6,0.5,0
Joe Meriweather,84.2,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,NA,NA,NA
Greg Ostertag,84.0,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,NA,NA
Coby Dietrick,83.3,4.5,4.4,4.1,3,2.9,2.5,2.3,2.1,1.7,0.3,0.1,0,0
Mel Counts,82.4,5,4.3,4.2,2.9,2.7,2,1.9,1.5,1.5,1,0.4,0.3,NA
Herb Williams,82.2,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.6,1.4,1.1,0.8
