,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,29,MIA,NBA,SG,63,2282,.445,15.2,.727,.207,.085,.118,.317,.273,.471,.606,.378,.408,.431,.378,.523,.025,20,.956,.265,.460,3,0
2001-02,30,MIA,NBA,SG,81,3156,.432,15.8,.681,.184,.069,.137,.290,.319,.451,.661,.349,.366,.382,.390,.519,.026,29,.899,.270,.456,2,0
2002-03,31,MIA,NBA,SG,47,1789,.423,15.3,.650,.202,.087,.148,.212,.350,.432,.504,.367,.422,.397,.407,.358,.016,10,.939,.357,.465,3,0
2003-04,32,MIA,NBA,SG,81,2998,.409,17.0,.586,.138,.088,.119,.240,.414,.437,.619,.402,.307,.410,.370,.527,.014,13,.927,.338,.407,0,0
2004-05,33,MIA,NBA,SF,80,2839,.428,16.3,.534,.223,.063,.078,.170,.466,.477,.617,.481,.297,.374,.372,.684,.021,16,.993,.319,.361,1,0
2005-06,34,MEM,NBA,SG,75,2437,.404,16.5,.482,.216,.072,.065,.129,.518,.457,.590,.365,.319,.355,.356,.597,.022,13,.940,.388,.338,1,0
2006-07,35,TOT,NBA,SG,64,1594,.422,17.0,.474,.225,.050,.057,.142,.526,.500,.632,.429,.375,.367,.351,.570,.005,1,.936,.396,.420,1,0
2006-07,35,MEM,NBA,SG,29,561,.377,17.3,.510,.199,.060,.066,.185,.490,.455,.500,.444,.200,.500,.297,.457,.007,1,.955,.324,.458,0,0
2006-07,35,MIA,NBA,SG,35,1033,.446,16.8,.454,.240,.044,.052,.118,.546,.528,.692,.417,.500,.250,.378,.631,.004,0,.929,.432,.406,1,0
2007-08,36,DAL,NBA,SG,47,922,.367,18.8,.356,.167,.061,.039,.089,.644,.500,.767,.091,.286,.375,.293,.844,.017,3,1.000,.319,.432,1,0
Career,,,NBA,,538,18017,.422,16.2,.598,.192,.075,.107,.224,.402,.457,.612,.382,.358,.396,.370,.540,.019,105,.942,.331,.407,12,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIA,NBA,,387,14097,.428,16.0,.626,.189,.077,.117,.244,.374,.456,.614,.392,.365,.397,.381,.529,.020,88,.940,.321,.420,10,0
2 seasons,,MEM,NBA,,104,2998,.400,16.6,.487,.213,.070,.065,.139,.513,.456,.575,.377,.298,.388,.346,.572,.019,14,.942,.377,.355,1,0
1 season,,DAL,NBA,,47,922,.367,18.8,.356,.167,.061,.039,.089,.644,.500,.767,.091,.286,.375,.293,.844,.017,3,1.000,.319,.432,1,0
