,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,22,CHO,NBA,SG,45,687,,10%,90%,,,-8.4,-5.9,9,6,34,3,20,6,48,5,11
2015-16,23,TOT,NBA,SF,66,1313,,56%,40%,4%,,-6.0,-7.5,16,12,74,9,32,10,92,10,16
2015-16,23,CHO,NBA,SF,48,938,,60%,38%,2%,,-5.4,-10.8,12,5,62,5,21,8,73,7,11
2015-16,23,MEM,NBA,SF,18,375,,45%,46%,9%,,-7.4,-5.6,4,7,12,4,11,2,19,3,5
Career,,,NBA,,111,2000,,40%,57%,3%,,-6.8,-7.0,25,18,108,12,52,16,140,15,27
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHO,NBA,,93,1625,,39%,60%,1%,,-6.7,-8.8,21,11,96,8,41,14,121,12,22
1 season,,MEM,NBA,,18,375,,45%,46%,9%,,-7.4,-5.6,4,7,12,4,11,2,19,3,5
