Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Eddie House,,4.9,3.9,2.2,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4
Tony Delk,86.0,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4,NA
Doug West,84.3,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1
Frank Johnson,83.6,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,NA
Brian Shaw,83.5,5.9,3.2,2.2,2.1,1.8,1.3,1.1,1,0.6,0.1,0
John Battle,82.5,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA
Keith Bogans,82.4,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0
Anthony Johnson,82.0,4.5,4,3.6,2,1.8,1.2,1.1,0.7,0.4,0.3,-0.2
Carlos Arroyo,79.7,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Greg Buckner,79.6,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1,NA
Darnell Valentine,79.3,5,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1,NA,NA
