Season,Team,Lg,Salary
1998-99,Charlotte Hornets,NBA,"$680,000"
1999-00,Charlotte Hornets,NBA,"$878,160"
2000-01,Miami Heat,NBA,"$939,360"
2001-02,Cleveland Cavaliers,NBA,"$1,496,400"
2002-03,Cleveland Cavaliers,NBA,"$4,546,000"
2003-04,Boston Celtics,NBA,"$5,000,600"
2004-05,Boston Celtics,NBA,"$5,455,200"
2005-06,Boston Celtics,NBA,"$5,909,800"
2006-07,Minnesota Timberwolves,NBA,"$6,364,400"
2007-08,Miami Heat,NBA,"$6,819,000"
2008-09,Los Angeles Clippers,NBA,"$2,300,000"
2009-10,Los Angeles Clippers,NBA,"$2,484,000"
Career,(may be incomplete),,"$42,872,920"
