Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Luke Jackson,,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8
Danny Ferry,91.3,5.6,5.5,3.9,3.6,1.7,1.3,1,1
Brandan Wright,90.8,6.1,5.1,4.1,3.5,1.9,1.1,0.8,0.7
Paul Griffin,88.9,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA
Luc Mbah a Moute,88.4,4.8,4.7,4,2.4,1.6,1.1,1,0.5
Markieff Morris,87.0,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5
Danny Fortson,86.6,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2
Eduardo Nájera,86.1,4.8,4.1,4,4,2.7,1.6,1.1,1.1
Shandon Anderson,85.8,4.9,4.2,3.9,2.7,2,1.7,1.2,0.4
Desmond Mason,85.7,5.7,5.2,4.7,4.3,1.7,1.5,0.6,-0.2
Alvin Scott,85.5,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8
