Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Luke Jackson,,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA,NA
Paul Griffin,88.9,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA,NA
James Johnson,87.1,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5,NA
Markieff Morris,87.0,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA
Danny Fortson,86.0,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0,NA
Alvin Scott,85.5,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8,NA,NA,NA
Brandan Wright,85.3,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,NA
Desmond Mason,85.0,5.7,5.2,4.7,4.3,1.7,1.5,0.6,0,-0.2,-0.3,NA
Dorell Wright,84.1,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1
Donald Royal,83.9,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA
Adam Keefe,83.6,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA
