Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Terrence Ross,,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA,NA
Tyler Hansbrough,91.1,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA,NA,NA
Hakim Warrick,90.6,4.7,4,3.7,3.4,3.3,0.8,0.5,0,NA,NA,NA
Popeye Jones,87.8,4.3,4.2,3.7,3.6,3.6,1.2,0.6,0.5,0.3,0,0
DeJuan Blair,87.4,4.8,4.6,4,3.4,2.2,0.1,-0.1,NA,NA,NA,NA
Lionel Simmons,86.2,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA,NA,NA
Dave Stallworth,85.8,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA,NA,NA
Bill Calhoun,85.6,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA,NA,NA
Danny Fortson,85.6,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0,NA
Willie Norwood,85.5,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA,NA,NA
Andray Blatche,85.1,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA,NA
