Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Terrence Ross,,4.3,4.2,3.6,3.5,2.4,0.9,0.3
Ron Anderson,93.0,4.4,4.1,3.8,3.1,2.5,1.5,0.3
Tyler Hansbrough,91.1,4.4,3.9,3.8,3.4,3,1,0.7
Hakim Warrick,90.7,4.7,4,3.7,3.4,3.3,0.8,0.5
Malik Rose,89.0,5.2,4.4,3.4,3.3,2.6,1.1,0.4
Frank Brickowski,88.4,4.7,4.1,3.8,3.6,1.1,1,0.4
Alvin Scott,88.4,4.4,4.3,4,3.8,2.9,1.7,0.8
Nate Williams,88.2,4.5,4.3,4,2.8,2.5,1.9,0.4
Vladimir Radmanović,88.1,4.2,3.8,3.7,3.5,2.7,2.1,0.8
Jan van Breda Kolff,88.1,4.5,3.9,3.8,3.6,3.4,1.2,0.6
DeJuan Blair,87.4,4.8,4.6,4,3.4,2.2,0.1,-0.1
