Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Damien Wilkins,,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA,NA,NA
Wesley Johnson,88.4,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0,NA,NA,NA,NA
Ryan Bowen,86.4,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA,NA,NA
Steve Kuberski,85.8,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA,NA,NA,NA
Joe Bryant,83.8,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0,NA,NA,NA,NA,NA
Bill Willoughby,82.2,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA,NA,NA
Wally Walker,80.7,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1,NA,NA,NA,NA,NA
Earl Cureton,80.2,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,0,-0.1,NA
Robert Traylor,80.2,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA,NA,NA,NA,NA
Jarvis Hayes,79.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA,NA,NA,NA,NA
Tony Massenburg,79.5,2.8,2.2,1.8,1.7,1.5,1.3,1.1,1,0.9,0.7,0.4,0.2,-0.1
