Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
C.J. Wilcox,,0.3,0,-0.2
Rich Rinaldi,-11.3,0.4,0,-0.2
Darrun Hilliard,-24.8,0.5,0,-0.2
Michael Phelps,-25.4,0.3,0.1,-0.1
Brad Holland,-30.2,0.3,0.1,-0.1
Elijah Millsap,-31.7,0.4,0.1,-0.1
Billy Thomas,-38.2,0.4,0.2,-0.1
Malcolm Lee,-38.9,0.4,0.1,0
Joe Young,-39.4,0.5,-0.1,-0.1
Russ Lee,-40.2,0.3,0.2,0
Gerald Madkins,-44.2,0.3,0.1,0
