,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1964-65,23,BOS,NBA,,2,3,4,4,8,1,1,4
1965-66,24,BOS,NBA,,1,3,0,0,2,0,1,2
Career,,,,,2,3,4,4,8,1,1,4
