Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Freddie Boyd,,2.1,0.4,0.1,-0.2,-0.3,-0.7
Win Wilfong,48.8,2.1,0.6,0.2,-0.3,NA,NA
Andre Turner,45.3,1.9,0.4,0,-0.1,-0.1,-0.3
Travis Mays,42.9,2.1,0.3,0,NA,NA,NA
Cory Alexander,40.4,2.2,1.1,0.2,-0.1,-0.1,-0.3
Trajan Langdon,39.6,2,0.6,0.3,NA,NA,NA
Alexey Shved,39.0,2.2,0.8,0.2,NA,NA,NA
Jerry Eaves,38.9,2,0.7,0,-0.1,NA,NA
Danuel House,38.9,2.3,0.6,0,NA,NA,NA
Kedrick Brown,37.0,2,0.5,0.4,0.1,NA,NA
John Lucas III,36.7,2.2,1.1,0.6,0,-0.1,-0.7
