Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,PHI,NBA,PG,82,NA,28.7,4.4,11.3,0.392,1.7,2.4,0.68,NA,NA,2.6,3.7,NA,NA,NA,2.2,10.5
1973-74,23,PHI,NBA,PG,75,NA,24.2,3.8,9.5,0.402,1.9,2.6,0.723,0.2,1,1.2,3.3,0.8,0.1,NA,2.3,9.5
1974-75,24,PHI,NBA,PG,66,NA,20.6,3.1,7.5,0.414,0.8,1.7,0.478,0.2,1.1,1.3,2.4,0.7,0.1,NA,2,7
1975-76,25,TOT,NBA,SG-PG,36,NA,17.1,2.1,4.8,0.433,0.8,1.4,0.569,0.1,0.8,0.9,2.2,0.8,0.2,NA,1.6,4.9
1975-76,25,PHI,NBA,PG,6,NA,5.5,0.3,1,0.333,0.2,0.3,0.5,0,0.3,0.3,0.3,0.2,0,NA,0.8,0.8
1975-76,25,NOJ,NBA,SG,30,NA,19.5,2.4,5.5,0.436,0.9,1.6,0.571,0.1,0.9,1,2.6,0.9,0.2,NA,1.8,5.7
1976-77,26,NOJ,NBA,PG,47,NA,25.8,4.1,8.6,0.478,1.7,2.1,0.806,0.4,1.5,1.9,3.1,0.9,0.1,NA,1.7,9.9
1977-78,27,NOJ,NBA,SG,21,NA,17.3,2.1,5.2,0.4,0.7,1,0.636,0.1,0.8,0.9,2.3,0.4,0.1,1,1.1,4.9
Career,NA,,NBA,,327,NA,23.6,3.6,8.6,0.414,1.4,2.1,0.667,0.2,1.1,1.6,3,0.8,0.1,1,2,8.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,229,NA,24.3,3.7,9.3,0.4,1.5,2.2,0.65,0.2,1,1.7,3.1,0.7,0.1,NA,2.2,8.9
3 seasons,NA,NOJ,NBA,,98,NA,22,3.2,6.9,0.455,1.2,1.7,0.716,0.3,1.2,1.4,2.8,0.8,0.2,1,1.6,7.6
