Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,23,PHI,NBA,PG,75,NA,1818,7,17.4,0.402,3.4,4.8,0.723,0.4,1.9,2.3,6.1,1.5,0.2,NA,4.2,17.4,NA,NA,103
1974-75,24,PHI,NBA,PG,66,NA,1362,7,16.9,0.414,1.9,3.9,0.478,0.5,2.5,3,5.5,1.5,0.1,NA,4.6,15.8,NA,NA,102
1975-76,25,TOT,NBA,SG-PG,36,NA,617,5.4,12.5,0.433,2.1,3.7,0.569,0.3,2,2.3,5.8,2,0.5,NA,4.3,12.9,NA,NA,100
1975-76,25,PHI,NBA,PG,6,NA,33,2.7,8.1,0.333,1.4,2.7,0.5,0,2.7,2.7,2.7,1.4,0,NA,6.8,6.8,NA,NA,102
1975-76,25,NOJ,NBA,SG,30,NA,584,5.5,12.7,0.436,2.2,3.8,0.571,0.3,2,2.3,6,2.1,0.5,NA,4.2,13.3,NA,NA,100
1976-77,26,NOJ,NBA,PG,47,NA,1212,7.2,15,0.478,2.9,3.6,0.806,0.7,2.6,3.3,5.4,1.6,0.2,NA,2.9,17.3,NA,NA,102
1977-78,27,NOJ,NBA,SG,21,NA,363,5.4,13.4,0.4,1.7,2.7,0.636,0.2,2.1,2.3,5.9,1.1,0.4,2.4,2.8,12.5,NA,90,105
Career,NA,,NBA,,245,NA,5372,6.7,15.9,0.414,2.7,4,0.667,0.5,2.2,2.7,5.7,1.5,0.2,0.2,3.9,16.1,NA,90,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,147,NA,3213,6.9,17.1,0.4,2.8,4.4,0.65,0.4,2.1,2.6,5.8,1.5,0.2,NA,4.4,16.6,NA,NA,102
3 seasons,NA,NOJ,NBA,,98,NA,2159,6.4,14.1,0.455,2.5,3.5,0.716,0.5,2.4,2.9,5.7,1.7,0.3,0.4,3.2,15.4,NA,90,102
