Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,PHI,NBA,PG,82,NA,2351,5.5,14.1,0.392,2.1,3.1,0.68,NA,NA,3.2,4.6,NA,NA,NA,2.8,13.2
1973-74,23,PHI,NBA,PG,75,NA,1818,5.7,14.1,0.402,2.8,3.9,0.723,0.3,1.5,1.8,4.9,1.2,0.2,NA,3.4,14.1
1974-75,24,PHI,NBA,PG,66,NA,1362,5.4,13.1,0.414,1.5,3,0.478,0.4,1.9,2.4,4.3,1.1,0.1,NA,3.5,12.3
1975-76,25,TOT,NBA,SG-PG,36,NA,617,4.3,10,0.433,1.7,3,0.569,0.2,1.6,1.9,4.7,1.6,0.4,NA,3.4,10.3
1975-76,25,PHI,NBA,PG,6,NA,33,2.2,6.5,0.333,1.1,2.2,0.5,0,2.2,2.2,2.2,1.1,0,NA,5.5,5.5
1975-76,25,NOJ,NBA,SG,30,NA,584,4.4,10.2,0.436,1.7,3,0.571,0.2,1.6,1.8,4.8,1.7,0.4,NA,3.3,10.6
1976-77,26,NOJ,NBA,PG,47,NA,1212,5.8,12.1,0.478,2.3,2.9,0.806,0.6,2.1,2.7,4.4,1.3,0.2,NA,2.3,13.9
1977-78,27,NOJ,NBA,SG,21,NA,363,4.4,10.9,0.4,1.4,2.2,0.636,0.2,1.7,1.9,4.8,0.9,0.3,2,2.3,10.1
Career,NA,,NBA,,327,NA,7723,5.4,13.1,0.414,2.1,3.2,0.667,0.4,1.8,2.5,4.6,1.2,0.2,2,3,13
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,229,NA,5564,5.5,13.8,0.4,2.2,3.3,0.65,0.4,1.7,2.5,4.6,1.2,0.1,NA,3.2,13.2
3 seasons,NA,NOJ,NBA,,98,NA,2159,5.2,11.4,0.455,2,2.8,0.716,0.4,1.9,2.3,4.6,1.3,0.3,2,2.6,12.4
