Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,PHI,NBA,PG,82,NA,2351,362,923,0.392,136,200,0.68,NA,NA,210,301,NA,NA,NA,184,860
1973-74,23,PHI,NBA,PG,75,NA,1818,286,712,0.402,141,195,0.723,16,77,93,249,60,9,NA,173,713
1974-75,24,PHI,NBA,PG,66,NA,1362,205,495,0.414,55,115,0.478,16,73,89,161,43,4,NA,134,465
1975-76,25,TOT,NBA,SG-PG,36,NA,617,74,171,0.433,29,51,0.569,4,28,32,80,28,7,NA,59,177
1975-76,25,PHI,NBA,PG,6,NA,33,2,6,0.333,1,2,0.5,0,2,2,2,1,0,NA,5,5
1975-76,25,NOJ,NBA,SG,30,NA,584,72,165,0.436,28,49,0.571,4,26,30,78,27,7,NA,54,172
1976-77,26,NOJ,NBA,PG,47,NA,1212,194,406,0.478,79,98,0.806,19,71,90,147,44,6,NA,78,467
1977-78,27,NOJ,NBA,SG,21,NA,363,44,110,0.4,14,22,0.636,2,17,19,48,9,3,20,23,102
Career,NA,,NBA,,327,NA,7723,1165,2817,0.414,454,681,0.667,57,266,533,986,184,29,20,651,2784
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,229,NA,5564,855,2136,0.4,333,512,0.65,32,152,394,713,104,13,NA,496,2043
3 seasons,NA,NOJ,NBA,,98,NA,2159,310,681,0.455,121,169,0.716,25,114,139,273,80,16,20,155,741
