Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Chris Mihm,,4,3.6,2.9,1.3,0.9,0.7,0.1,0
DeSagana Diop,87.5,4.1,3.8,3,1.4,1,0,-0.2,-0.3
Adonal Foyle,82.5,4,3.4,1.9,1.2,1.1,1.1,0.7,-0.1
Chris Dudley,82.2,4.1,3.4,2.2,2.2,1,0.2,0.1,0
Hank Finkel,82.2,3.4,3.4,2.3,1.2,1,0.9,0.9,0
Lee Davis,80.9,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1
Joel Anthony,80.4,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.2
Rick Roberson,79.8,3.6,3.5,3.2,3,1,0.4,0,NA
Duane Causwell,78.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.5
Dan Gadzuric,78.6,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1
Jake Voskuhl,78.3,3.3,2.7,2.5,1.7,1,0.6,0.2,0
