Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Chris Mihm,,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA,NA,NA
DeSagana Diop,89.5,4.1,3.8,3,1.4,1,0.4,0,-0.1,-0.1,-0.2,-0.2,-0.3
Lee Davis,80.9,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA,NA
Hank Finkel,80.0,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA,NA,NA
Rick Roberson,79.8,3.6,3.5,3.2,3,1,0.4,0,NA,NA,NA,NA,NA
Miles Plumlee,78.3,4,2.6,2.2,0.9,0.5,0.5,0,NA,NA,NA,NA,NA
George Peeples,78.0,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA,NA,NA
Dan Gadzuric,77.8,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA,NA
Joel Anthony,77.4,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA,NA
Leon Douglas,77.0,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA,NA,NA
Aron Baynes,76.5,4.1,3.9,3,3,2.4,0.6,0.1,NA,NA,NA,NA,NA
