Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chris Welp,,0.7,0.3,0,NA,NA
George Zídek,74.2,0.6,0.3,0,NA,NA
Alan Ogg,69.0,0.5,0.3,0,NA,NA
Jabari Smith,66.1,0.7,0.5,0.2,0,NA
Stojko Vranković,64.1,0.9,0.4,0.1,0,-0.1
Paul Ruffner,63.7,0.9,0.1,0,0,0
Mike Peplowski,61.0,0.9,0.1,0,NA,NA
Kyrylo Fesenko,57.9,0.6,0.3,0.1,0,-0.1
Chris Johnson,57.9,1,0.2,0.2,NA,NA
Luke Witte,57.2,1,0.1,0.1,NA,NA
Daniel Orton,54.7,0.5,0.3,0.3,NA,NA
