Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Craig Raymond,,4.7,1.7,1,0,0,NA,NA
Rich Niemann,88.4,4.4,1.4,1.2,0.2,NA,NA,NA
Jamie Feick,87.3,4.8,2.2,0.9,0.2,0.2,NA,NA
Mike Sojourner,85.7,4.7,2.7,0.9,NA,NA,NA,NA
Ed Johnson,85.3,5.1,2.4,1,NA,NA,NA,NA
Greg Oden,83.8,4.6,2.2,0.5,NA,NA,NA,NA
Jack Toomay,80.5,3.6,1.6,1.1,NA,NA,NA,NA
Lucas Nogueira,78.6,3.7,1.6,0.7,0,NA,NA,NA
Lee Knorek,76.9,5.1,2.5,1.7,0,NA,NA,NA
Tom Hoover,74.0,4.4,2.6,0.4,0.1,0,NA,NA
Phil Jordon,71.5,5.2,1.9,1.5,0.7,0.6,0,-0.2
