Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,23,PHI,NBA,C,27,177,7.6,0.385,NA,0.266,NA,NA,NA,5.5,NA,NA,NA,NA,NA,-0.3,0.3,0,-0.001
1969-70,24,TOT,ABA,C,80,2356,13,0.509,0.001,0.374,NA,NA,14.7,9,NA,NA,20.7,18.6,NA,2.1,2.6,4.7,0.096
1969-70,24,PTP,ABA,C,34,789,7.2,0.463,0,0.428,NA,NA,13.8,8.8,NA,NA,28.8,17.4,NA,0,0.7,0.7,0.043
1969-70,24,LAS,ABA,C,46,1567,15.9,0.527,0.002,0.353,NA,NA,15.1,9.1,NA,NA,16.9,19.1,NA,2.2,1.9,4,0.123
1970-71,25,MMP,ABA,C,56,1102,9.3,0.466,0.003,0.321,NA,NA,11.7,10.5,NA,NA,21.3,16.1,NA,-0.1,1.8,1.7,0.073
1971-72,26,FLO,ABA,C,64,889,8.9,0.491,0.013,0.335,6.7,24.5,15.5,10,NA,NA,25.9,15.3,NA,0.2,0.8,1,0.055
1972-73,27,TOT,ABA,C,14,168,6.9,0.376,0,0.359,12.9,29.6,21,5.2,NA,NA,24.9,13.6,NA,-0.3,0.3,0,0.013
1972-73,27,SDA,ABA,C,8,135,9,0.4,0,0.387,13.9,32.3,22.8,5.6,NA,NA,24.9,13.6,NA,-0.2,0.3,0.1,0.035
1972-73,27,INA,ABA,C,6,33,-1.5,0.282,0,0.25,8.6,18.8,13.9,3.6,NA,NA,25.3,13.5,NA,-0.1,0,-0.1,-0.077
Career,NA,,TOT,,241,4692,10.9,0.488,0.003,0.351,7.7,25.3,14.3,9.3,NA,NA,21.8,17.1,NA,1.7,5.8,7.5,0.076
,NA,,ABA,,214,4515,11,0.492,0.004,0.355,7.7,25.3,14.3,9.4,NA,NA,21.8,17.1,NA,1.9,5.5,7.5,0.079
,NA,,NBA,,27,177,7.6,0.385,NA,0.266,NA,NA,NA,5.5,NA,NA,NA,NA,NA,-0.3,0.3,0,-0.001
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,FLO,ABA,,64,889,8.9,0.491,0.013,0.335,6.7,24.5,15.5,10,NA,NA,25.9,15.3,NA,0.2,0.8,1,0.055
1 season,NA,MMP,ABA,,56,1102,9.3,0.466,0.003,0.321,NA,NA,11.7,10.5,NA,NA,21.3,16.1,NA,-0.1,1.8,1.7,0.073
1 season,NA,LAS,ABA,,46,1567,15.9,0.527,0.002,0.353,NA,NA,15.1,9.1,NA,NA,16.9,19.1,NA,2.2,1.9,4,0.123
1 season,NA,PTP,ABA,,34,789,7.2,0.463,0,0.428,NA,NA,13.8,8.8,NA,NA,28.8,17.4,NA,0,0.7,0.7,0.043
1 season,NA,PHI,NBA,,27,177,7.6,0.385,NA,0.266,NA,NA,NA,5.5,NA,NA,NA,NA,NA,-0.3,0.3,0,-0.001
1 season,NA,SDA,ABA,,8,135,9,0.4,0,0.387,13.9,32.3,22.8,5.6,NA,NA,24.9,13.6,NA,-0.2,0.3,0.1,0.035
1 season,NA,INA,ABA,,6,33,-1.5,0.282,0,0.25,8.6,18.8,13.9,3.6,NA,NA,25.3,13.5,NA,-0.1,0,-0.1,-0.077
