,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,24,TOT,ABA,,9,,0,,,,9,11,,,,,,,,,24
1969-70,24,LAS,ABA,,9,,0,,,,9,11,,,,,,,,,24
1970-71,25,MMP,ABA,,2,,0,,,,2,2,,,,,,,,,6
1971-72,26,FLO,ABA,,9,,0,,,,2,3,,,,,,,,,18
Career,,,,,9,,0,,,,9,11,,,,,,,,,24
1 Season,,LAS,ABA,,9,,0,,,,9,11,,,,,,,,,24
1 Season,,FLO,ABA,,9,,0,,,,2,3,,,,,,,,,18
1 Season,,MMP,ABA,,2,,0,,,,2,2,,,,,,,,,6
