Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Craig Raymond,,4.7,1.7,1,0,0
Joel Przybilla,90.3,4.7,1.9,0.6,0.1,0.1
Rich Niemann,88.4,4.4,1.4,1.2,0.2,NA
Jamie Feick,87.3,4.8,2.2,0.9,0.2,0.2
Mike Sojourner,85.7,4.7,2.7,0.9,NA,NA
Ed Johnson,85.3,5.1,2.4,1,NA,NA
Greg Oden,83.8,4.6,2.2,0.5,NA,NA
Jack Toomay,80.5,3.6,1.6,1.1,NA,NA
Phil Jordon,79.2,5.2,1.9,1.5,0.6,0
Lucas Nogueira,78.6,3.7,1.6,0.7,0,NA
Erick Dampier,77.0,4,1.5,0.9,-0.1,-0.5
