,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,PHI,NBA,,6,8,,,,,2,4,,,7,2,,,,6,13
1969-70,24,TOT,ABA,,12,,0,,,,11,14,,,,,,,,,29
1969-70,24,PTP,ABA,,10,,0,,,,6,8,,,,,,,,,22
1969-70,24,LAS,ABA,,12,,0,,,,11,14,,,,,,,,,29
1970-71,25,MMP,ABA,,9,,0,,,,5,11,,,,,,,,,21
1971-72,26,FLO,ABA,,7,,0,,,,4,7,,,,,,,,,15
1972-73,27,TOT,ABA,,4,,0,,,,2,3,,,,,,,,,10
1972-73,27,SDA,ABA,,4,,0,,,,2,3,,,,,,,,,10
1972-73,27,INA,ABA,,1,,0,,,,1,2,,,,,,,,,2
Career,,,TOT,,12,,,,,,11,14,,,,,,,,,29
,,,NBA,,6,8,,,,,2,4,,,7,2,,,,6,13
,,,ABA,,12,,0,,,,11,14,,,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,
1 Season,,FLO,ABA,,7,,0,,,,4,7,,,,,,,,,15
1 Season,,MMP,ABA,,9,,0,,,,5,11,,,,,,,,,21
1 Season,,LAS,ABA,,12,,0,,,,11,14,,,,,,,,,29
1 Season,,PTP,ABA,,10,,0,,,,6,8,,,,,,,,,22
1 Season,,PHI,NBA,,6,8,,,,,2,4,,,7,2,,,,6,13
1 Season,,SDA,ABA,,4,,0,,,,2,3,,,,,,,,,10
1 Season,,INA,ABA,,1,,0,,,,1,2,,,,,,,,,2
