Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Shawne Williams,,2.5,1.9,1.4,0.7,0.7,0,-0.4
James Hardy,81.3,2.5,1.8,1.3,0.7,NA,NA,NA
Justin Holiday,80.7,2.5,2.1,1.7,1.3,0.6,-0.1,NA
George Lee,80.5,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Ike Diogu,80.4,2.6,1.5,1,0.7,0.7,0,NA
Sam Mack,79.8,2.8,1.9,1.3,1.1,0.3,0,-0.1
Richard Anderson,77.6,2.3,2.1,1.3,1,0.5,0.5,NA
Lamar Green,77.2,2.4,2,1.9,0.5,0.4,0.2,NA
Mark Alarie,77.1,3.1,2.2,1.5,0.9,0.6,NA,NA
Chuck Terry,76.3,2.3,2.1,1.2,0.7,0.1,NA,NA
Brady Walker,75.2,2.8,1.9,1.2,1,NA,NA,NA
